feature,fscore
day_price,0.0021382751247327157
total_click_num_uv_all,0.0021382751247327157
total_click_num_all,0.0021382751247327157
cylinder_capacity,0.003563791874554526
placeorder_num,0.0042765502494654314
model_txt,0.004989308624376337
90day_favorit_num,0.006414825374198147
90day_show_num,0.006414825374198147
hour_price,0.007127583749109052
brand_txt,0.007127583749109052
guide_day_price,0.007127583749109052
90day_click_num,0.008553100498930863
car_age,0.008553100498930863
total_favorit_num,0.009978617248752673
holiday_price,0.010691375623663579
buy_eval_good,0.018531717747683536
cpi,0.024233784746970778
total_show_num,0.024946543121881683
req_count_uv,0.024946543121881683
buy_times,0.02565930149679259
halfyear_success_rentday,0.029223093371347115
success_rent_day,0.03136136849607983
type_txt,0.03991446899501069
1year_success_rentday,0.03991446899501069
total_rent,0.040627227369921595
birthday,0.040627227369921595
typeid,0.04490377761938703
buy_res_avg_time,0.05060584461867427
start_validity_period,0.05559515324305061
guide_price,0.05844618674269423
mem_no,0.08196721311475409
mem_reg_time,0.08481824661439771
mem_dri_lic_first_time,0.09194583036350677
dri_lic_st_time,0.10049893086243764
